state,district,crop,year,season,area,production,yield
Assam,Kamrup,Coconut,2017,Whole Year,1240,17769000,14329.84
Assam,Kamrup,Coconut,2018,Whole Year,1227,11231000,9153.22
Assam,Kamrup,Coconut,2019,Whole Year,1197,15566000,13004.18
Assam,Kamrup Metro,Coconut,2006,Whole Year,196,1800000,9183.67
Assam,Kamrup Metro,Coconut,2007,Whole Year,198,1882000,9505.05
Assam,Kamrup Metro,Coconut,2008,Whole Year,201,2975000,14801
Assam,Kamrup Metro,Coconut,2009,Whole Year,251,1166000,4645.42
Assam,Kamrup Metro,Coconut,2010,Whole Year,216,2135000,9884.26
Assam,Kamrup Metro,Coconut,2011,Whole Year,208,1314000,6317.31
Assam,Kamrup Metro,Coconut,2012,Whole Year,210,1630000,7761.9
Assam,Kamrup Metro,Coconut,2013,Whole Year,210,1727000,8223.81
Assam,Kamrup Metro,Coconut,2014,Whole Year,216,1672000,7740.74
Assam,Kamrup Metro,Coconut,2015,Whole Year,200,1492000,7460
Assam,Kamrup Metro,Coconut,2016,Whole Year,190,3960000,20842.11
Assam,Kamrup Metro,Coconut,2017,Whole Year,190,1723000,9068.42
Assam,Kamrup Metro,Coconut,2018,Whole Year,177,2362000,13344.63
Assam,Kamrup Metro,Coconut,2019,Whole Year,176,2524000,14340.91
Assam,Karbi Anglong,Coconut,1997,Whole Year,370,1672000,4518.92
Assam,Karbi Anglong,Coconut,1998,Whole Year,370,1603000,4332.43
Assam,Karbi Anglong,Coconut,1999,Whole Year,122,600000,4918.03
Assam,Karbi Anglong,Coconut,2000,Whole Year,391,1440000,3682.86
Assam,Karbi Anglong,Coconut,2001,Whole Year,396,3038000,7671.72
Assam,Karbi Anglong,Coconut,2002,Whole Year,402,1921000,4778.61
Assam,Karbi Anglong,Coconut,2003,Whole Year,408,1595000,3909.31
Assam,Karbi Anglong,Coconut,2005,Whole Year,416,3830000,9206.73
Assam,Karbi Anglong,Coconut,2006,Whole Year,394,2057000,5220.81
Assam,Karbi Anglong,Coconut,2007,Whole Year,385,2713000,7046.75
Assam,Karbi Anglong,Coconut,2008,Whole Year,435,1366000,3140.23
Assam,Karbi Anglong,Coconut,2009,Whole Year,451,2850000,6319.29
Assam,Karbi Anglong,Coconut,2010,Whole Year,423,915000,2163.12
Assam,Karbi Anglong,Coconut,2011,Whole Year,474,2472000,5215.19
Assam,Karbi Anglong,Coconut,2012,Whole Year,466,2653000,5693.13
Assam,Karbi Anglong,Coconut,2013,Whole Year,499,676000,1354.71
Assam,Karbi Anglong,Coconut,2014,Whole Year,512,2974000,5808.59
